Sample,Deposit_group,Depth,Ag,Ag.2.Sigma,Al,Al.2.Sigma,As,As.2.Sigma,Au,Au.2.Sigma,Ba,Ba.2.Sigma,Bal,Bal.2.Sigma,Bi,Bi.2.Sigma,Ca,Ca.2.Sigma,Cd,Cd.2.Sigma,Ce,Ce.2.Sigma,Cl,Cl.2.Sigma,Co,Co.2.Sigma,Cr,Cr.2.Sigma,Cu,Cu.2.Sigma,Fe,Fe.2.Sigma,Hf,Hf.2.Sigma,K,K.2.Sigma,La,La.2.Sigma,Mg,Mg.2.Sigma,Mn,Mn.2.Sigma,Mo,Mo.2.Sigma,Nb,Nb.2.Sigma,Nd,Nd.2.Sigma,Ni,Ni.2.Sigma,P,P.2.Sigma,Pb,Pb.2.Sigma,Pr,Pr.2.Sigma,Rb,Rb.2.Sigma,Re,Re.2.Sigma,S,S.2.Sigma,Sb,Sb.2.Sigma,Sc,Sc.2.Sigma,Se,Se.2.Sigma,Si,Si.2.Sigma,Sn,Sn.2.Sigma,Sr,Sr.2.Sigma,Ta,Ta.2.Sigma,Th,Th.2.Sigma,Ti,Ti.2.Sigma,U,U.2.Sigma,V,V.2.Sigma,W,W.2.Sigma,Y,Y.2.Sigma,Zn,Zn.2.Sigma,Zr,Zr.2.Sigma
LosArroyos2.1_profundo,LosArroyos,profundo,0,6.0853,44329.5391,2266.4336,0,8.0226,0,11.2126,207.7316,40.7942,758806.3125,4547.4292,0,4.9894,1503.6315,68.555,0,8.5761,665.7281,52.9537,0,74.1366,436.6716,115.985,0,1279.1506,154.095,12.0759,108965.6328,353.3802,0,0,385.0738,173.9525,971.2629,47.6451,0,5305.8721,0,1178.1301,0,3.8103,30.9002,2.9075,768.563,101.1793,227.7065,21.4723,4078.9456,375.953,69.9277,4.039,424.6097,69.4736,3.7772,2.1222,0,0,0,114.3851,0,18.5228,0,203.5901,0,3.3622,66372.9375,782.6063,0,15.3317,1033.0701,5.3414,0,0,16.0233,2.3975,8437.5938,1508.028,8.7028,4.1255,450.6923,230.0358,44.4682,16.4219,819.1993,6.9648,471.4208,14.9126,315.8209,4.8733
LosArroyos2.1_profundo,LosArroyos,profundo,0,5.1998,50356.1602,2172.542,0,7.9823,0,11.4237,78.5654,34.0482,747585.0625,4391.5249,0,4.4848,1310.4908,62.844,0,8.2205,510.0424,44.2132,0,69.7528,372.3986,114.7038,432.7185,319.2812,175.2035,12.2031,118231.0781,363.5284,0,0,483.2793,170.9297,786.3126,39.7428,0,5382.7905,0,1424.2764,0,4.1089,31.4438,2.8569,326.0097,83.2734,259.721,21.3833,3832.7495,355.7972,76.2943,4.0199,0,159.713,6.5183,2.1251,0,0,0,104.993,0,21.0569,0,181.9195,0,3.1722,65031.9961,727.0834,0,12.9536,1044.1274,5.2141,0,0,17.5015,2.2987,6892.2842,1356.6403,8.9627,4.0298,436.5384,206.6967,37.042,15.9729,840.5831,6.8537,509.6125,15.0002,327.2834,4.7989
LosArroyos2.1_profundo,LosArroyos,profundo,0,5.3403,51880.1641,2140.04,0,7.7483,0,12.6022,106.0153,35.0279,745261.0625,4494.0566,0,4.8853,1352.2008,61.4709,0,11.2647,492.7313,45.3358,0,68.6441,272.8595,115.7019,503.4897,310.4005,183.3555,12.5304,118018.0547,357.3267,0,0,538.4137,169.8042,805.9521,40.8758,0,5643.7012,0,1304.2164,0,3.8196,34.7859,2.9079,423.5327,85.9474,257.6875,21.402,4181.5049,345.3534,69.8287,3.9506,153.3291,59.2248,4.2596,2.1231,0,0,0,98.7812,0,22.6303,0,169.6258,0,3.3887,65578.2812,704.9891,0,13.1475,1039.9756,5.2634,0,0,17.0538,2.3844,6629.5767,1320.5234,10.2011,4.0998,452.6735,201.0298,58.0058,16.708,832.5356,6.8977,512.0843,15.2212,330.3225,4.8663
LosArroyos2.1_profundo,LosArroyos,profundo,0,5.5117,53060.7539,2701.9182,0,7.8578,0,11.215,114.3581,36.5922,736711.5,5338.582,0,4.91,1566.6179,73.4016,0,7.7892,588.4319,47.6527,0,83.4193,472.2558,117.5227,599.736,389.1028,162.2289,12.3059,112900.7031,364.9297,0,0,412.0461,184.1252,888.6874,42.8816,0,6370.1914,0,1365.9507,3.0409,1.916,34.4063,2.9335,622.3371,90.7473,240.8602,21.8839,4254.5269,428.3138,68.475,4.0136,224.6645,62.1532,6.9154,2.131,0,0,0,125.0461,0,20.1687,0,189.5502,0,3.21,75538.3516,905.9955,0,13.7768,1062.65,5.4316,0,0,17.5118,2.4304,8193.2529,1643.6108,0,11.539,574.4168,249.9473,38.4218,16.3974,837.7949,7.064,485.4754,15.1573,319.5853,4.9323
LosArroyos2.1_profundo,LosArroyos,profundo,0,5.6822,62124.0508,2616.2622,0,8.0307,0,11.1544,150.5955,35.9803,717000.75,4849.1489,0,5.2585,1611.6699,71.8811,0,11.309,638.998,46.9097,0,78.656,440.6623,115.9787,590.4058,371.9883,195.6506,12.6005,125403,373.4379,0,0,425.5229,175.6404,946.5331,42.2721,0,5533.0239,0,1388.8292,0,3.8218,33.0518,2.9538,594.5139,88.8332,280.6441,21.824,4762.4087,415.6812,79.9121,4.0838,344.0054,61.2682,4.2129,2.1695,0,0,0,118.4333,16.2463,7.3291,0,179.3136,0,3.2355,72701.9766,832.6157,0,13.6462,1161.4705,5.4615,0,0,17.4905,2.4772,8027.5283,1570.632,11.9338,4.2204,524.8918,238.8562,66.1257,16.9587,927.8852,7.1474,571.1921,15.6942,346.6613,4.9407
LosArroyos2.1_profundo,LosArroyos,profundo,0,5.4398,62959.3359,2433.092,0,7.9134,0,10.9324,108.5739,36.858,716625.1875,4664.5303,0,5.1905,1608.4244,72.0106,0,7.9017,509.2155,47.7313,0,71.8807,0,356.0787,568.624,371.2292,186.917,12.5714,119990.9844,366.7198,0,0,492.5053,183.2529,860.411,43.1254,0,5224.0962,0,1359.2318,0,3.8117,28.7051,2.8575,373.8228,90.2177,274.7645,23.9709,4497.1499,382.981,70.4975,3.9285,225.3434,62.5571,3.9927,2.1962,0,0,0,112.2098,0,14.8681,0,198.9023,0,3.2575,79337.1719,803.5446,0,13.7368,1090.3129,5.3457,0,0,13.125,2.343,7872.1445,1568.8066,15.1607,4.2459,546.0651,239.1845,72.6688,17.0945,838.6524,6.8696,507.3056,15.0431,322.9105,4.8289
LosArroyos2.1_profundo,LosArroyos,profundo,0,5.5966,51553.5547,2600.2109,0,7.6105,0,10.9186,145.1793,37.3404,742947.0625,5018.4751,0,4.4694,1503.5228,72.1614,0,10.4234,637.5704,48.6774,0,80.6062,500.2702,111.6097,647.0229,381.9959,161.0191,11.6374,111999.5156,346.5657,0,0,391.749,181.3857,958.6288,43.8653,0,5891.5742,0,1268.3007,0,3.6523,30.9196,2.8105,709.0159,92.8416,216.2404,20.3493,5022.8345,439.272,73.7687,3.9141,340.428,63.671,5.2153,2.0221,0,0,0,124.9789,10.7798,7.5524,0,198.4319,0,3.0273,71110.9062,866.2695,0,14.0966,1067.3066,5.1759,0,0,18.8259,2.3055,7638.1934,1617.45,5.4145,3.9046,599.1807,246.0396,55.4987,15.8395,854.8731,6.7821,469.2553,14.1898,326.1986,4.7232
LosArroyos2.1_profundo,LosArroyos,profundo,0,6.3486,37815.0234,2196.7224,0,8.0183,0,11.4259,106.8822,43.474,773652.8125,4876.1855,0,5.3866,1478.7218,70.8981,0,8.9717,673.2356,56.9869,0,76.7786,483.4624,120.4646,719.6676,372.2775,148.8519,12.5392,105739.7109,376.3618,0,0,384.2672,184.7294,1012.4744,51.3465,0,6055.1899,0,1480.8497,0,5.2647,29.5814,3.0223,702.7239,108.5768,230.6095,22.6633,3848.1851,371.6031,68.7187,4.2053,429.2848,74.8139,4.5806,2.2337,0,0,0,113.1108,0,19.4739,0,168.1949,0,3.3649,62267.8906,758.764,0,16.2143,992.6697,5.4902,0,0,15.2232,2.5246,7010.356,1581.1307,9.6889,4.2876,614.4734,240.9442,0,50.3152,812.7438,7.2706,442.0822,15.1531,306.0412,5.0185
LosArroyos2.1_profundo,LosArroyos,profundo,0,5.3028,62269.3906,2648.3792,0,7.7391,0,11.3942,100.1619,36.35,723962.8125,5186.1348,0,5.1102,1580.7135,74.3154,0,11.9767,501.9676,47.0905,0,77.5953,426.9558,111.6406,0,1353.2428,189.4666,12.2511,114376.7656,363.0762,0,0,590.6016,198.1576,793.3572,42.3761,0,6062.5957,0,1408.7429,0,5.0428,32.5642,2.8083,370.3437,88.9864,237.4236,20.566,4506.7817,410.5764,73.5021,3.8806,139.2171,61.4494,4.1145,2.0609,0,0,0,119.6702,11.4378,7.4256,0,220.5151,0,3.2603,77722.2422,872.1148,0,13.7672,1064.3547,5.1566,0,0,11.6732,2.2596,8817.6641,1646.4603,9.9048,3.9927,490.7551,251.34,55.4803,15.9721,842.1784,6.7176,495.2812,14.5165,322.938,4.6906
LosArroyos2.1_profundo,LosArroyos,profundo,0,5.5732,55378.9844,2712.3433,0,7.9879,0,12.9337,163.9166,37.3518,729500.125,5292.5981,0,4.8355,1619.593,70.8696,0,13.0887,652.769,48.6443,0,81.6645,260.4359,115.4863,668.0474,364.167,176.2592,12.3957,118676.8047,359.8531,0,0,512.791,181.193,923.0112,43.6807,0,6287.1162,0,1303.6206,0,4.7618,31.3972,2.9109,624.0109,92.2417,292.2432,22.0538,4467.5029,428.6952,70.098,3.9486,332.7318,63.506,5.201,2.1117,0,0,0,124.3738,0,17.9329,0,162.825,0,3.4793,74518.1641,875.5134,0,13.9574,1088.4124,5.3562,0,0,15.4572,2.3217,7664.2568,1539.7091,6.9853,4.073,570.0496,235.0625,57.9511,16.9162,873.893,7.0264,520.216,15.2534,328.7057,4.8678
